Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
83,Thursday,JONES AND DANFORTH,Mechanical,26,2024-09-19,9,18
44,Saturday,KIPLING STATION,Mechanical,20,2024-05-11,5,7
121,Tuesday,FRONT AND PRINCESS,Operations - Operator,36,2024-07-30,7,18
32,Tuesday,EGLINTON AND DUFFERIN,Mechanical,10,2024-07-23,7,17
63,Saturday,EGLINTON WEST STATION,Operations - Operator,11,2024-06-08,6,13
43,Monday,KENNEDY AND PROGRESS,Emergency Services,20,2024-07-01,7,10
79,Friday,RUNNYMEDE STATION,Mechanical,28,2024-05-03,5,7
67,Friday,VICTORIA PARK STATION,Emergency Services,32,2024-04-26,4,7
960,Wednesday,PIONEER VILLAGE STATIO,Operations - Operator,14,2024-09-18,9,18
24,Monday,BIRCHMOUNT GARAGE,Mechanical,16,2024-04-22,4,20
36,Wednesday,HUMBER COLLEGE AND FIN,Mechanical,16,2024-06-19,6,20
34,Tuesday,EGLINTON GARAGE,Operations - Operator,14,2024-08-20,8,8
75,Saturday,LOWER JARVIS AND QUEEN,Emergency Services,24,2024-04-27,4,20
95,Thursday,ELLESMERE AND MEADOWVA,Operations - Operator,20,2024-06-20,6,5
903,Saturday,MCNICOLL GARAGE,Mechanical,14,2024-02-03,2,5
929,Thursday,DUFFERIN GATE LOOP,Security,16,2024-05-09,5,21
130,Tuesday,SCARBOROUGH TOWN CENTR,Mechanical,50,2024-02-06,2,14
8,Wednesday,O CONNOR AND PAPE,Emergency Services,48,2024-05-22,5,23
40,Friday,DUNDAS WEST STATION,Operations - Operator,48,2024-08-16,8,13
75,Tuesday,LOWER JARVIS AND QUEEN,Mechanical,14,2024-01-16,1,14
7,Monday,CARPENTER AND BATHURST,Mechanical,20,2024-03-18,3,6
95,Thursday,ELLESMERE AND BELLAMY,Operations - Operator,32,2024-07-18,7,21
95,Saturday,YORK MILLS STATION,Mechanical,24,2024-05-18,5,15
79,Friday,RUNNYMEDE STATION,Operations - Operator,0,2024-02-16,2,6
36,Saturday,HUMBERWOOD AND VIEW GR,Mechanical,10,2024-04-13,4,13
29,Tuesday,BLOOR AND DUFFERIN,Mechanical,16,2024-01-23,1,17
41,Wednesday,KEELE AND GLENLAKE,Utilized Off Route,20,2024-03-27,3,16
22,Sunday,COXWELL STATION,Mechanical,16,2024-03-24,3,14
43,Friday,KENNEDY AND GLAMORGAN,Emergency Services,20,2024-06-14,6,13
165,Wednesday,WILSON AND CHAMPLAIN,Collision - TTC,20,2024-07-24,7,19
54,Friday,LAWRENCE AND RAILSIDE,Security,22,2024-08-16,8,16
118,Monday,WILSON STATION,Operations - Operator,40,2024-03-11,3,8
12,Tuesday,VICTORIA PARK STATION,Mechanical,40,2024-06-11,6,19
939,Friday,FINCH AND TORREDALE,Mechanical,20,2024-09-20,9,20
91,Tuesday,EGLINTON AND BERMONDSE,General Delay,30,2024-02-13,2,18
996,Monday,WILSON AND TRANSIT,Collision - TTC,24,2024-06-24,6,12
67,Wednesday,ST. CLAIR AND PHARMACY,Road Blocked - NON-TTC Collision,30,2024-07-24,7,8
76,Friday,ROYAL YORK STATION,Mechanical,16,2024-05-17,5,5
21,Sunday,SCARBOROUGH CENTRE STA,Mechanical,44,2024-03-24,3,13
